OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
4242,A600575,,CAT,,STRAY,21ST AVE & 73RD ST,2020/02/14 08:00:00+00,EUTH,2020/02/20 08:00:00+00,,WHITE,M,PHYS COND
4243,A600576,GILFOY,DOG,,STRAY,MEADOWSTONE DR & BROOKFIELD DR,2020/02/14 08:00:00+00,TRANSFER,2020/02/28 08:00:00+00,14Y,BLACK,N,NEVADA HUM
4244,A600577,CHEWBACCA,DOG,,STRAY,BELL AVE & RIO LINDA BLVD,2020/02/14 08:00:00+00,EUTH,2020/02/25 08:00:00+00,1Y 9M,TAN,N,BEHAVIOR
4245,A600578,BUG,DOG,,STRAY,BELDEN ST & LOS ROBLES BLVD,2020/02/14 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,5Y,WHITE,S,NORMAL
4246,A600580,,CAT,,STRAY,60TH ST & 21ST AVE,2020/02/14 08:00:00+00,RTF,2020/03/01 08:00:00+00,,BLACK,S,FERAL
4247,A600582,SAGE,CAT,,STRAY,VANDENBERG DR & 73RD ST,2020/02/14 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,3Y,WHITE,S,NORMAL
4248,A600584,MIA,DOG,,STRAY,BUS 80 EB & BUSINESS 80 NB EXPOSITION BLVD OFF,2020/02/14 08:00:00+00,,2020/02/27 08:00:00+00,,TAN,F,
4249,A600585,PEPPER,DOG,,STRAY,ELDER CREEK RD & POWER INN RD,2020/02/14 08:00:00+00,FOSTER,2020/02/20 08:00:00+00,4Y,TAN,S,POSS ADOPT
4250,A600585,PEPPER,DOG,,FOSTER,,2020/03/05 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,4Y,TAN,S,FOSTER
4251,A600586,HONEY,DOG,,STRAY,BALSAM ST & GRAND AVE,2020/02/14 08:00:00+00,FOSTER,2020/03/20 07:00:00+00,4Y,FAWN,S,EMERGENCY
4252,A600586,HONEY,DOG,,FOSTER,,2020/06/23 07:00:00+00,ADOPTION,2020/06/23 07:00:00+00,4Y,FAWN,S,EMERGENCY
4253,A600587,LINDSAY,DOG,,STRAY,RENE AVE & WHEATLEY CIR,2020/02/14 08:00:00+00,FOSTER,2020/02/16 08:00:00+00,2Y,BROWN,S,PETCO
4254,A600587,LINDSAY,DOG,,FOSTER,,2020/02/21 08:00:00+00,ADOPTION,2020/02/22 08:00:00+00,2Y,BROWN,S,PETCO
4255,A600588,GOB,DOG,,FOSTER,,2020/02/21 08:00:00+00,ADOPTION,2020/02/22 08:00:00+00,2Y,BLACK,N,PETCO
4256,A600588,GOB,DOG,,STRAY,RENE AVE & WHEATLEY CIR,2020/02/14 08:00:00+00,FOSTER,2020/02/16 08:00:00+00,2Y,BLACK,N,PETCO
4257,A600592,,DOG,,STRAY,FREEPORT BLVD & FRUITRIDGE RD,2020/02/14 08:00:00+00,EUTH,2020/02/26 08:00:00+00,3Y,BL BRINDLE,F,BEHAVIOR
4258,A600597,CINNAMON,DOG,,STRAY,GRAND AVE & RIO LINDA BLVD,2020/02/15 08:00:00+00,RTO,2020/02/15 08:00:00+00,3Y,TAN,F,NEXTDOOR
4259,A600598,ARIEL,DOG,,STRAY,12TH AVE & 50TH ST,2020/02/15 08:00:00+00,RTO,2020/02/15 08:00:00+00,3Y,WHITE,F,IMP 1
4260,A600599,,DOG,,STRAY,IVERSON WAY & IRONGATE WAY,2020/02/12 08:00:00+00,,2020/02/28 08:00:00+00,,BLACK,M,
4261,A600601,,DOG,,STRAY,RIVERSIDE BLVD & 10TH AVE,2020/02/13 08:00:00+00,,2020/02/29 08:00:00+00,2Y,BLACK,M,
4262,A600603,NOVA,DOG,,STRAY,POCKET RD & COUNTRY RIVER WAY,2020/02/15 08:00:00+00,FOSTER,2020/02/16 08:00:00+00,2Y,BR BRINDLE,S,FOST2ADOPT
4263,A600603,NOVA,DOG,,FOSTER,,2020/02/21 08:00:00+00,ADOPTION,2020/02/21 08:00:00+00,2Y,BR BRINDLE,S,FOSTER
4264,A600605,,CAT,,STRAY,TANZANITE AVE & AIRPORT RD,2020/02/15 08:00:00+00,RTF,2020/03/01 08:00:00+00,,SEAL PT,N,FERAL
4265,A600609,SNOWBALL,DOG,,STRAY,EL CAMINO AVE & COLFAX ST,2020/02/15 08:00:00+00,RTO,2020/02/16 08:00:00+00,4Y,WHITE,F,WEBSITE
4266,A600613,,DOG,,STRAY,PARK VILLAGE ST & DICKSON ST,2020/02/15 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,3Y,TAN,S,NORMAL
4267,A600614,,DOG,,STRAY,PARK VILLAGE ST & DICKSON ST,2020/02/15 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,3Y,BLACK,N,NORMAL
4268,A600615,BENDER,DOG,,STRAY,PARK VILLAGE ST & DICKSON ST,2020/02/15 08:00:00+00,ADOPTION,2020/02/19 08:00:00+00,3Y,BROWN,M,RESCUE GRP
4269,A600615,BENDER,DOG,,OWNER SUR,,2020/02/21 08:00:00+00,RTO,2020/02/21 08:00:00+00,3Y,BROWN,M,IMP 1
4270,A600616,,DOG,,STRAY,PARK VILLAGE ST & DICKSON ST,2020/02/15 08:00:00+00,TRANSFER,2020/02/26 08:00:00+00,3Y,TAN,M,SPCA
4271,A600620,BRUNO,DOG,,STRAY,ARCADE BLVD & DEL PASO BLVD,2020/02/15 08:00:00+00,RTO,2020/02/18 08:00:00+00,3Y,BROWN,M,WEBSITE
4272,A600621,HANA,CAT,A20-451580,STRAY,FLORIN RD & TAMOSHANTER WAY,2020/02/15 08:00:00+00,FOSTER,2020/02/15 08:00:00+00,1W,CALICO (DILUTE),F,BOTTLE BAB
4273,A600621,HANA,CAT,A20-451580,FOSTER,,2020/02/21 08:00:00+00,EUTH,2020/02/21 08:00:00+00,1W,CALICO (DILUTE),F,UNWEANED
4274,A600622,POINDEXTER,DOG,,STRAY,BROADWAY & 20TH ST,2020/02/15 08:00:00+00,TRANSFER,2020/02/28 08:00:00+00,9Y,TAN,N,NEVADA HUM
4275,A600623,ROCA,CAT,,STRAY,CHARENTE WAY & OLLIE CT,2020/02/15 08:00:00+00,EUTH,2020/02/15 08:00:00+00,,CALICO (DILUTE),F,MD/UNTREAT
4276,A600624,ROMEO,CAT,,STRAY,7TH AVE & 33RD ST,2020/02/15 08:00:00+00,TRANSFER,2020/02/28 08:00:00+00,8Y,BLACK,M,NEVADA HUM
4277,A600675,,CAT,A20-451613,STRAY,BELLEVIEW AVE & KARI ANN CIR,2020/02/16 08:00:00+00,DIED,2020/02/16 08:00:00+00,1Y,CRM TIGER,F,ENROUTE
4278,A600677,,DOG,,STRAY,FRANKLIN BLVD & CALVINE RD,2020/02/16 08:00:00+00,EUTH,2020/02/25 08:00:00+00,6Y,TAN,F,BEHAVIOR
4279,A600693,CANELLA,CAT,,STRAY,34TH AVE & 64TH ST,2020/02/16 08:00:00+00,ADOPTION,2020/02/23 08:00:00+00,2Y,GRAY TABBY,S,NORMAL
4280,A600695,,CAT,,STRAY,34TH AVE & 64TH ST,2020/02/16 08:00:00+00,ADOPTION,2020/02/19 08:00:00+00,2Y,GRAY TABBY,S,NORMAL
4281,A600711,ROSCOE,DOG,,STRAY,ARDEN WAY & CHALLENGE WAY,2020/02/16 08:00:00+00,RTO,2020/02/18 08:00:00+00,6Y,BROWN,M,WEBSITE
4282,A600734,,DOG,,STRAY,LOGGERHEAD WAY & DUCKHORN DR,2020/02/16 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,5Y,WHITE,N,NORMAL
4283,A600736,,CAT,,STRAY,VILLAGE GREEN DR & KIT RD,2020/02/16 08:00:00+00,EUTH,2020/02/16 08:00:00+00,9Y,BLACK,F,PHYS COND
4284,A600738,,CAT,A20-451626,STRAY,5981 BELLEVIEW AVE,2020/02/16 08:00:00+00,DIED,2020/02/16 08:00:00+00,,GRAY,M,ENROUTE
4285,A600752,CILANTRO,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/19 08:00:00+00,2Y,WHITE,N,NORMAL
4286,A600753,CLOVE,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/24 08:00:00+00,2Y,WHITE,S,NORMAL
4287,A600754,DILL,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/21 08:00:00+00,2Y,BLACK,N,NORMAL
4288,A600755,CAPER,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/26 08:00:00+00,2Y,BLACK,N,NORMAL
4289,A600756,PEPPER,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/24 08:00:00+00,2Y,BLACK,S,NORMAL
4290,A600757,JUNIPER,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/23 08:00:00+00,2Y,BLACK,S,NORMAL
4291,A600758,CURRY,CAT,,STRAY,OLMSTEAD DR & WESTERN AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/23 08:00:00+00,2Y,BLACK,N,NORMAL
4292,A600761,,DOG,,STRAY,EL CAMINO AVE & DEL PASO BLVD,2020/02/16 08:00:00+00,EUTH,2020/02/25 08:00:00+00,1Y,BLACK,M,BEHAVIOR
4293,A600793,LITTLE,DOG,A20-451625,CONFISCATE,2061 MANGRUM AVE,2020/02/16 08:00:00+00,ADOPTION,2020/03/01 08:00:00+00,3Y,BLACK,S,NORMAL
4294,A600794,BITTLE,DOG,A20-451625,CONFISCATE,2061 MANGRUM AVE,2020/02/16 08:00:00+00,ADOPTION,2020/02/29 08:00:00+00,3Y,BROWN,S,NORMAL
4295,A600795,NUGGET,DOG,A20-451625,CONFISCATE,2061 MANGRUM AVE,2020/02/16 08:00:00+00,RTO,2020/02/26 08:00:00+00,3Y,BROWN,M,HOMELESS 1
4296,A600796,MAPLE,DOG,A20-451625,CONFISCATE,2061 MANGRUM AVE,2020/02/16 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,3Y,BROWN,S,NORMAL
4297,A600796,MAPLE,DOG,A20-451625,FOSTER,,2020/04/21 07:00:00+00,ADOPTION,2020/04/21 07:00:00+00,3Y,BROWN,S,EMERGENCY
4298,A600796,MAPLE,DOG,A20-451625,RETURN,,2020/03/30 07:00:00+00,FOSTER,2020/04/02 07:00:00+00,3Y,BROWN,S,EMERGENCY
4299,A600796,MAPLE,DOG,A20-451625,FOSTER,,2020/06/24 07:00:00+00,ADOPTION,2020/06/24 07:00:00+00,3Y,BROWN,S,EMERGENCY
4300,A600796,MAPLE,DOG,A20-451625,CONFISCATE,,2020/06/15 07:00:00+00,FOSTER,2020/06/18 07:00:00+00,3Y,BROWN,S,EMERGENCY
4301,A600797,BLAKE,DOG,A20-451635,STRAY,863 ARDEN WAY,2020/02/16 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,3Y,BLACK,N,NORMAL
4302,A600800,LITTLE GUY,DOG,A20-451638,CONFISCATE,BRAIDWAY & 18TH ST,2020/02/17 08:00:00+00,RTO,2020/03/03 08:00:00+00,7M,BROWN,M,IMP NOTICE
4303,A600801,NEWTON,DOG,A20-451638,CONFISCATE,BRAIDWAY & 18TH ST,2020/02/17 08:00:00+00,TRANSFER,2020/03/03 08:00:00+00,4Y,BROWN,M,OR HUMANE
4304,A600802,NANCY,DOG,A20-451638,CONFISCATE,BRAIDWAY & 18TH ST,2020/02/17 08:00:00+00,RTO,2020/03/03 08:00:00+00,4Y,BLACK,F,IMP NOTICE
4305,A600817,,DOG,A20-451652,STRAY,4060 POWER INN,2020/02/17 08:00:00+00,ADOPTION,2020/02/22 08:00:00+00,2Y,BLACK,S,NORMAL
4306,A600869,BASIL,CAT,,STRAY,BROADWAY & 5TH STREET,2020/02/18 08:00:00+00,ADOPTION,2020/02/28 08:00:00+00,6Y,GRAY TABBY,N,NORMAL
4307,A600870,JAFAR,DOG,A20-451681,CONFISCATE,IRIS AVE & ALBATROSS WAY,2020/02/18 08:00:00+00,EUTH,2020/02/25 08:00:00+00,,GRAY,N,PDD
4308,A600871,SNICKERS,DOG,A20-451681,OWNER SUR,IRIS AVE & ALBATROSS WAY,2020/02/18 08:00:00+00,DIED,2020/02/19 08:00:00+00,8Y,BLACK,N,IN KENNEL
4309,A600874,JASMINE,DOG,,STRAY,BROADWAY & 5TH ST,2020/02/18 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,3Y,TAN,S,PETCO
4310,A600874,JASMINE,DOG,,FOSTER,,2020/02/28 08:00:00+00,ADOPTION,2020/02/29 08:00:00+00,3Y,TAN,S,PETCO
4311,A600880,ZAE,DOG,,STRAY,NORWOOD AVE & SILVER EAGLE RD,2020/02/18 08:00:00+00,RTO,2020/02/19 08:00:00+00,3Y,RED,F,NEXTDOOR
4312,A600883,,DOG,A20-451686,CONFISCATE,3262 1/2 43RD ST,2020/02/18 08:00:00+00,TRANSFER,2020/03/11 07:00:00+00,12Y,TAN,F,SPCA
4313,A600892,GINGER,CAT,,STRAY,48TH AVE & POWER INN RD,2020/02/18 08:00:00+00,ADOPTION,2020/02/26 08:00:00+00,3Y,TORTIE,S,NORMAL
4314,A600899,,DOG,A20-451698,STRAY,BELL AVE AT DRYCREEK RD,2020/02/18 08:00:00+00,EUTH,2020/02/18 08:00:00+00,,WHITE,M,MD/UNTREAT
4315,A600910,STRIDER,DOG,,STRAY,X ST & 6TH ST,2020/02/18 08:00:00+00,ADOPTION,2020/03/18 07:00:00+00,6Y,BLACK,N,NORMAL
4316,A600915,,DOG,,STRAY,MACK RD & VALLEY HI DR,2020/02/18 08:00:00+00,TRANSFER,2020/02/25 08:00:00+00,6Y,WHITE,M,EB SPCA
4317,A600925,,DOG,,STRAY,34TH AVE & CAZADERO WAY,2020/02/18 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,7Y,WHITE,S,NORMAL
4318,A600928,HEIDI,DOG,,STRAY,MACK RD & CENTER PKWY,2020/02/18 08:00:00+00,FOSTER,2020/02/21 08:00:00+00,2Y,TAN,S,PETCO
4319,A600928,HEIDI,DOG,,FOSTER,,2020/02/28 08:00:00+00,ADOPTION,2020/02/29 08:00:00+00,2Y,TAN,S,PETCO
4320,A600928,HEIDI,DOG,,RETURN,,2020/03/05 08:00:00+00,FOSTER,2020/03/05 08:00:00+00,2Y,TAN,S,MEDICAL
4321,A600928,HEIDI,DOG,,FOSTER,,2020/08/19 07:00:00+00,ADOPTION,2020/08/19 07:00:00+00,2Y,TAN,S,EMERGENCY
4322,A600940,,CAT,A20-451728,STRAY,2436 BENALI WAY,2020/02/19 08:00:00+00,EUTH,2020/02/21 08:00:00+00,5Y,CALICO,F,MD/UNTREAT
4323,A600941,,CAT,A20-451715,STRAY,HIGH ST & ARCADE BLVD,2020/02/18 08:00:00+00,EUTH,2020/02/18 08:00:00+00,4Y,BRN TIGER,F,MD/UNTREAT
4324,A600945,CHANEL,DOG,A20-451721,CONFISCATE,STOCKTON BLVD & 37TH AVE,2020/02/19 08:00:00+00,RTO,2020/02/27 08:00:00+00,3Y,TAN,F,IMP NOTICE
4325,A600957,,DOG,,STRAY,LACKLAND WAY,2020/02/16 08:00:00+00,,2020/02/29 08:00:00+00,,BLACK,F,
4326,A600963,,CAT,,STRAY,79TH ST & MARIN AVE,2020/02/14 08:00:00+00,,2020/02/29 08:00:00+00,3Y,WHITE,F,
4327,A600965,PEGGY,DOG,A20-451734,STRAY,DU BOIS AVE & EATON CT,2020/02/19 08:00:00+00,FOSTER,2020/02/23 08:00:00+00,5Y,BLACK,S,MEDICAL
4328,A600965,PEGGY,DOG,,FOSTER,,2020/03/07 08:00:00+00,ADOPTION,2020/03/07 08:00:00+00,5Y,BLACK,S,NORMAL
4329,A600979,STORMY,DOG,A20-451740,OWNER SUR,EXPO PKWY & EXPOSITION BLVD,2020/02/19 08:00:00+00,EUTH,2020/02/19 08:00:00+00,8Y,GRAY,F,MD/UNTREAT
4330,A600981,PEPPER,CAT,,STRAY,MACK RD & CENTER PKWY,2020/02/19 08:00:00+00,ADOPTION,2020/02/28 08:00:00+00,,BLACK,N,RESCUE GRP
4331,A600982,BOB,CAT,,STRAY,MACK RD & CENTER PKWY,2020/02/19 08:00:00+00,ADOPTION,2020/02/28 08:00:00+00,6Y,BLACK,N,RESCUE GRP
4332,A600984,,CAT,,STRAY,GRAND AVE & JASMINE ST,2020/02/19 08:00:00+00,ADOPTION,2020/02/20 08:00:00+00,2Y,WHITE,M,RESCUE GRP
4333,A600985,,CAT,,STRAY,GRAND AVE & JASMINE ST,2020/02/19 08:00:00+00,ADOPTION,2020/02/20 08:00:00+00,2Y,BLUE TABBY,M,RESCUE GRP
4334,A600986,TROUBLE,DOG,,STRAY,13TH AVE & FRANKLIN BLVD,2020/02/19 08:00:00+00,RTO,2020/02/19 08:00:00+00,10Y,BLACK,N,PHONE
4335,A600993,RUTH,DOG,A20-451748,STRAY,MACARTHUR ST & DOOLITTLE ST,2020/02/19 08:00:00+00,ADOPTION,2020/03/10 07:00:00+00,8Y,BROWN,S,NORMAL
4336,A600997,MATRIX,DOG,,STRAY,14TH ST & BROADWAY,2020/02/19 08:00:00+00,RTO,2020/02/25 08:00:00+00,7Y,TAN,M,WALK THRU
4337,A601001,ROXXXI,DOG,,MEDICAL,,2020/02/19 08:00:00+00,RTO,2020/02/19 08:00:00+00,4Y,BROWN,F,HOMELESS 1
4338,A601004,BLUE,DOG,A20-451751,STRAY,2764 9TH AVE,2020/02/19 08:00:00+00,RTO,2020/02/26 08:00:00+00,6Y,GRAY,F,NEXTDOOR
4339,A601004,BLUE,DOG,A20-451751,STRAY,FRANKLIN BLVD & 10TH AVE,2020/12/21 08:00:00+00,RTO,2020/12/22 08:00:00+00,6Y,GRAY,F,
4340,A601006,HUEY,DOG,,STRAY,W EL CAMINO AVE & NATOMAS PARK DR,2020/02/19 08:00:00+00,FOSTER,2020/03/19 07:00:00+00,5Y,WHITE,N,EMERGENCY
4341,A601006,HUEY,DOG,,FOSTER,,2020/05/21 07:00:00+00,ADOPTION,2020/05/21 07:00:00+00,5Y,WHITE,N,EMERGENCY
4342,A601008,DOLCE,DOG,,STRAY,14TH ST & BROADWAY,2020/02/19 08:00:00+00,TRANSFER,2020/03/04 08:00:00+00,8Y,CREAM,N,SPCA
4343,A601020,GIZMO,CAT,,FOSTER,,2019/12/14 08:00:00+00,ADOPTION,2019/12/14 08:00:00+00,3Y,BRN TABBY,N,PETCO
4344,A601025,MISS ESTELLE,CAT,,STRAY,DUCKHORN DR & FAR NIENTE WAY,2020/02/19 08:00:00+00,FOSTER,2020/03/07 08:00:00+00,5Y,GRAY,S,MEDICAL
4345,A601025,MISS ESTELLE,CAT,,FOSTER,,2020/03/17 07:00:00+00,FOSTER,2020/03/18 07:00:00+00,5Y,GRAY,S,SPACE
4346,A601025,MISS ESTELLE,CAT,,FOSTER,,2020/03/23 07:00:00+00,FOSTER,2020/03/23 07:00:00+00,5Y,GRAY,S,EMERGENCY
4347,A601025,MISS ESTELLE,CAT,,FOSTER,,2020/05/15 07:00:00+00,ADOPTION,2020/05/15 07:00:00+00,5Y,GRAY,S,EMERGENCY
4348,A601026,ELLIE,DOG,,STRAY,RIO LINDA BLVD & GRAND AVE,2020/02/19 08:00:00+00,RTO,2020/02/21 08:00:00+00,6Y,GRAY,F,WEBSITE
4349,A601027,CHIEF,DOG,,STRAY,ORCHARD LN & GARDEN HWY,2020/02/19 08:00:00+00,TRANSFER,2020/02/25 08:00:00+00,5Y,BROWN,N,EB SPCA
4350,A601028,,DOG,,STRAY,HARRIS AVE & DRY CREEK RD,2020/02/19 08:00:00+00,EUTH,2020/02/25 08:00:00+00,1Y,BROWN,M,BEHAVIOR
4351,A601034,SIETE,DOG,,STRAY,FRONT ST & O STREET,2020/02/20 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,3Y,BLACK,N,NORMAL
4352,A601052,,DOG,,STRAY,25TH ST & FAT ALY,2020/02/20 08:00:00+00,,2020/02/29 08:00:00+00,,GRAY,M,
4353,A601059,MIGHTY,DOG,A20-451793,STRAY,MEADOWVIEW RD & 24TH ST,2020/02/20 08:00:00+00,ADOPTION,2020/02/28 08:00:00+00,5Y,BLACK,N,NORMAL
4354,A601064,MAX,DOG,,STRAY,SAN JUAN RD & NORTHGATE BLVD,2020/02/20 08:00:00+00,FOSTER,2020/02/20 08:00:00+00,2Y,TAN,N,PETCO
4355,A601064,MAX,DOG,,FOSTER,,2020/02/28 08:00:00+00,ADOPTION,2020/02/29 08:00:00+00,2Y,TAN,N,PETCO
4356,A601067,PICKLE,DOG,,STRAY,MAIN AVE & NORWOOD AVE,2020/02/20 08:00:00+00,ADOPTION,2020/02/27 08:00:00+00,5Y,BLACK,N,NORMAL
4357,A601068,MONGO,DOG,,STRAY,FLORIN PERKINS RD & ELDER CREEK RD,2020/02/20 08:00:00+00,FOSTER,2020/03/20 07:00:00+00,1Y 6M,GRAY,N,EMERGENCY
4358,A601068,MONGO,DOG,,FOSTER,,2020/05/20 07:00:00+00,EUTH,2020/08/19 07:00:00+00,1Y 6M,GRAY,N,BEHAVIOR
4359,A601076,MILO,DOG,,STRAY,SUN SHOWER CIR & SUN WILLOW LANE,2020/02/20 08:00:00+00,RTO,2020/02/21 08:00:00+00,8Y,TAN,N,WEBSITE
4360,A601085,,DOG,,STRAY,L ST & 25TH ST,2020/02/16 08:00:00+00,RTO,2020/02/26 08:00:00+00,,WHITE,M,PET UNIFY
4361,A601089,,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,BLACK,M,UNDERAGE
4362,A601089,,DOG,A20-451812,FOSTER,,2020/04/06 07:00:00+00,ADOPTION,2020/04/06 07:00:00+00,2Y,BLACK,M,RESCUE GRP
4363,A601090,HULK,DOG,A20-451812,FOSTER,,2020/04/06 07:00:00+00,ADOPTION,2020/04/06 07:00:00+00,2Y,BLACK,N,RESCUE GRP
4364,A601090,HULK,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,BLACK,N,UNDERAGE
4365,A601091,NOX,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,BLACK,N,UNDERAGE
4366,A601091,NOX,DOG,A20-451812,FOSTER,,2020/04/06 07:00:00+00,ADOPTION,2020/04/06 07:00:00+00,2Y,BLACK,N,RESCUE GRP
4367,A601092,,DOG,A20-451812,FOSTER,,2020/04/06 07:00:00+00,ADOPTION,2020/04/06 07:00:00+00,2Y,BLACK,F,RESCUE GRP
4368,A601092,,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,BLACK,F,UNDERAGE
4369,A601093,PENELOPE,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,TAN,S,UNDERAGE
4370,A601093,PENELOPE,DOG,A20-451812,FOSTER,,2020/04/06 07:00:00+00,ADOPTION,2020/04/06 07:00:00+00,2Y,TAN,S,RESCUE GRP
4371,A601094,SALLY,DOG,A20-451812,FOSTER,,2020/03/27 07:00:00+00,FOSTER,2020/03/27 07:00:00+00,5Y,TAN,S,EMERGENCY
4372,A601094,SALLY,DOG,A20-451812,OWNER SUR,BELL AVE & WINTERS ST,2020/02/20 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,5Y,TAN,S,NURSING
4373,A601094,SALLY,DOG,A20-451812,FOSTER,,2020/07/21 07:00:00+00,ADOPTION,2020/07/21 07:00:00+00,5Y,TAN,S,EMERGENCY
4374,A601095,JACKS,DOG,A20-451812,OWNER SUR,,2020/06/14 07:00:00+00,RTO,2020/06/14 07:00:00+00,5Y,BLACK,N,PHONE
4375,A601095,JACKS,DOG,A20-451812,OWNER SUR,,2020/02/20 08:00:00+00,ADOPTION,2020/03/10 07:00:00+00,5Y,BLACK,N,NORMAL
4376,A601097,LEIA,DOG,A20-451820,STRAY,MARYSVILLE RD & ACACIA  AVE,2020/02/20 08:00:00+00,RTO,2020/02/20 08:00:00+00,,BLACK,S,IMP 1
4377,A601106,,CAT,A20-451833,STRAY,WINDSONG ST AT GOOSE HAVEN LN,2020/02/21 08:00:00+00,EUTH,2020/02/25 08:00:00+00,,BLACK,U,PHYS COND
4378,A601110,WILLY,DOG,A20-451836,STRAY,1900 BELL AVE,2020/02/21 08:00:00+00,EUTH,2020/03/13 07:00:00+00,5Y,BLACK,M,BEHAVIOR
4379,A601152,,CAT,A20-451855,STRAY,GLORIA  DR & RIVERGATE WAY,2020/02/21 08:00:00+00,EUTH,2020/02/21 08:00:00+00,,BLACK,N,PHYS COND
4380,A601165,TAZ,DOG,,STRAY,FRONT ST & BROADWAY,2020/02/21 08:00:00+00,RTO,2020/02/24 08:00:00+00,,WHITE,M,PET UNIFY
4381,A601169,ERNEST,DOG,,STRAY,NEW HAVEN RD & BOWLING GREEN DR,2020/02/21 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,BLACK,N,PETCO
4382,A601169,ERNEST,DOG,,FOSTER,,2020/04/29 07:00:00+00,ADOPTION,2020/04/29 07:00:00+00,2Y,BLACK,N,EMERGENCY
4383,A601171,HANK,DOG,,STRAY,NEW HAVEN RD & BOWLING GREEN DR,2020/02/21 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,2Y,TAN,N,PETCO
4384,A601171,HANK,DOG,,FOSTER,,2020/02/28 08:00:00+00,ADOPTION,2020/02/29 08:00:00+00,2Y,TAN,N,PETCO
4385,A601173,,DOG,,STRAY,BLUEFIELD WAY & HOLLYBROOK DR,2020/02/21 08:00:00+00,EUTH,2020/02/26 08:00:00+00,2Y,GRAY,N,BEHAVIOR
4386,A601185,TAZ,DOG,,STRAY,45TH AVE & MARTIN LUTHER KING BLVD,2020/02/21 08:00:00+00,RTO,2020/02/21 08:00:00+00,,TAN,M,PHONE
4387,A601191,JAKE,DOG,,STRAY,AZEVEDO DR & COROVAL DR,2020/02/21 08:00:00+00,FOSTER,2020/02/25 08:00:00+00,7Y,WHITE,N,POSS ADOPT
4388,A601191,JAKE,DOG,,FOSTER,,2020/03/06 08:00:00+00,ADOPTION,2020/03/06 08:00:00+00,7Y,WHITE,N,FOSTER
4389,A601192,PETEY,DOG,,STRAY,I ST & 15TH ST,2020/02/21 08:00:00+00,ADOPTION,2020/03/05 08:00:00+00,4Y,BROWN,N,NORMAL
4390,A601193,BIRDIE,CAT,,STRAY,J ST & 17TH ST,2020/02/21 08:00:00+00,FOSTER,2020/02/21 08:00:00+00,11W,WHITE,F,BOTTLE BAB
4391,A601195,,CAT,,STRAY,J ST & 17TH ST,2020/02/21 08:00:00+00,FOSTER,2020/02/21 08:00:00+00,2W,BRN TABBY,F,BOTTLE BAB
4392,A601196,,CAT,,STRAY,J ST & 17TH ST,2020/02/21 08:00:00+00,FOSTER,2020/02/21 08:00:00+00,6D,WHITE,M,BOTTLE BAB
4393,A601211,EDIE,DOG,,STRAY,BRANCH ST & SONOMA  AVE,2020/02/21 08:00:00+00,FOSTER,2020/02/22 08:00:00+00,4Y,WHITE,S,PETCO
4394,A601211,EDIE,DOG,,FOSTER,,2020/02/27 08:00:00+00,ADOPTION,2020/03/02 08:00:00+00,4Y,WHITE,S,NORMAL
