OBJECTID,Animal_Id,Animal_Name,Animal_Type,Activity_Number,Intake_Type,Picked_up_Location,Intake_Date,Outcome_Type,Outcome_Date,Animal_Age,Animal_PrimaryColor,Animal_Sex,Outcome_SubType
34,A389986,MR KITTY,CAT,A19-447911,CONFISCATE,425 SAN ANTONIO WAY,2019/11/27 08:00:00+00,RTO,2019/12/05 08:00:00+00,13Y,WHITE,N,IMP NOTICE
35,A393559,BONNIE,DOG,,STRAY,MARINA DUNES WAY & NOYACK WAY,2020/02/29 08:00:00+00,ADOPTION,2020/03/10 07:00:00+00,13Y,TAN,S,NORMAL
36,A396067,JOMBEEZE,DOG,,STRAY,68TH AVE & MUIRFIELD WAY,2020/06/14 07:00:00+00,RTO,2020/06/14 07:00:00+00,,GRAY,M,PHONE
37,A398727,SOPHIE,DOG,A21-468376,QUARANTINE,SANDBURG DR & SHEPARD AVE,2021/05/19 07:00:00+00,TRANSFER,2021/06/05 07:00:00+00,5Y,CREAM,S,RESCUE GRP
38,A406243,LUKE,DOG,A21-467993,MEDICAL,AUSTIN ST & JESSIE AVE,2021/05/11 07:00:00+00,RTO,2021/05/12 07:00:00+00,,CHOCOLATE,N,PHONE
39,A415021,K.T,DOG,,FOSTER,,2019/11/12 08:00:00+00,ADOPTION,2019/11/12 08:00:00+00,12Y,WHITE,S,FOSTER
40,A417278,HONEY BOO BO,DOG,A20-461576,STRAY,DAYTON ST AT SOUTH AVE,2020/11/27 08:00:00+00,RTO,2020/11/27 08:00:00+00,,BROWN,S,IMP 1
41,A419049,ZOEY BEAR,DOG,A20-453056,OWNER SUR,MIKE GARTRELL CIR & HONOR PKWAY,2020/03/22 07:00:00+00,EUTH,2020/04/02 07:00:00+00,7Y,GRAY,S,BITER
42,A419057,LUCKY,DOG,,STRAY,LYTLE ST & 71ST AVE,2021/01/19 08:00:00+00,EUTH,2021/01/26 08:00:00+00,9Y,TAN,N,MD/UNTREAT
43,A420470,ALICE,DOG,A21-466152,CONFISCATE,CENTER PKWY & MACK RD,2021/04/01 07:00:00+00,RTO,2021/04/16 07:00:00+00,11Y,BROWN,S,PHONE
44,A421826,CHAVO,DOG,A22-483866,OWNER SUR,19TH AVE & 58TH ST,2022/04/30 07:00:00+00,EUTH,2022/07/07 07:00:00+00,9Y,BLACK,N,PDD
45,A422860,"SOPHIA ""CORA""",DOG,,STRAY,35TH AVE & 42ND ST,2020/10/21 07:00:00+00,,2020/10/29 07:00:00+00,9Y,BROWN,S,COUNTY ACC
46,A426808,MOLLY,DOG,,STRAY,59TH AVE & CROMWELL WAY,2020/02/25 08:00:00+00,RTO,2020/02/27 08:00:00+00,9Y,BROWN,S,IMP 1
47,A427034,JERUSHA,CAT,A21-463513,CONFISCATE,L ST & 28TH ST,2021/01/22 08:00:00+00,RTO,2021/02/09 08:00:00+00,19Y,GRAY,S,IMP 1
